pi_Time1	pi_Time2	pi_Time3	pi_Present	pi_Anadyr	pi_Cook	pi_Bristol
0.2428421	0.3061968	0.3299328	0.3200012	0.3689685	0.2679117	0.3201591
0.3300789	0.3425615	0.3069955	0.3470185	0.302431	0.2743742	0.3185493
0.2987723	0.3235323	0.3419727	0.3438987	0.3215153	0.3039861	0.3452619
0.3303602	0.3331903	0.3224197	0.3162845	0.3218102	0.3074582	0.3316745
0.3572285	0.3414717	0.3623696	0.34309	0.3281777	0.2927994	0.3362752
0.3748585	0.3407811	0.30599	0.3926676	0.2998104	0.3057849	0.2804244
0.3097258	0.3778074	0.3418416	0.3418025	0.3365834	0.3384193	0.3268211
0.3415621	0.319751	0.3303387	0.2980986	0.3034642	0.3235396	0.322352
0.320188	0.3436527	0.3302908	0.326003	0.3496454	0.301323	0.3427109
0.3532169	0.3464416	0.3513932	0.3566835	0.3379175	0.3323148	0.3199736
0.3344271	0.2908056	0.3081489	0.332713	0.3361258	0.3249965	0.324418
0.2969147	0.3543993	0.3386362	0.3519617	0.334546	0.3497327	0.3007004
0.3327414	0.3252325	0.2877031	0.3239175	0.3230862	0.3163184	0.3160741
0.3484388	0.3508037	0.3360952	0.3542335	0.3246755	0.2970483	0.318775
0.3039216	0.3468967	0.3229549	0.3401515	0.3358438	0.2816728	0.3243697
0.378531	0.325079	0.3196224	0.3320121	0.3109205	0.2857509	0.3016144
0.3210919	0.3367427	0.3823836	0.3127826	0.3378969	0.3226065	0.3241723
0.2521186	0.3365028	0.3256276	0.3366316	0.3023438	0.3101276	0.3066394
0.3331343	0.3054132	0.3508478	0.3533088	0.3298129	0.3257415	0.3234614
0.299604	0.3348001	0.3274188	0.3368333	0.3440932	0.3006591	0.3208268
0.3045603	0.3324622	0.3304219	0.3442969	0.3287112	0.2718162	0.3072989
0.3956585	0.3531103	0.3216148	0.3314503	0.3403951	0.3108921	0.3423767
0.3093113	0.3322751	0.3242955	0.3699833	0.3279718	0.3263514	0.3178644
0.3149937	0.3579486	0.3272163	0.3119016	0.3265603	0.2984591	0.303933
0.2845719	0.2844547	0.3434711	0.3314544	0.3589832	0.272248	0.3018959
0.3410595	0.3153334	0.3110008	0.3439666	0.3260115	0.3660135	0.3165398
0.3552362	0.3139903	0.3272099	0.3228484	0.2785647	0.3125694	0.2877229
0.3024847	0.3369911	0.2797539	0.3454151	0.2841941	0.3214559	0.2812023
0.3670041	0.3409375	0.3467353	0.3462897	0.3234595	0.3503417	0.3468255
0.3302008	0.3466664	0.3689893	0.348834	0.32802	0.3126956	0.3353591
0.3127876	0.3160974	0.308654	0.3479139	0.3249496	0.2801428	0.3367487
0.3545031	0.3498714	0.3523338	0.344809	0.3068809	0.2607412	0.3424508
0.3248242	0.3131553	0.3217906	0.3290242	0.3176959	0.2116333	0.2919103
0.3343171	0.3031814	0.3505294	0.3034394	0.3268107	0.2662719	0.3089439
0.3194702	0.3344458	0.3419907	0.3109794	0.3061888	0.2870654	0.3350431
0.2817216	0.3273078	0.3123379	0.284699	0.2926856	0.285825	0.3083158
0.3037687	0.31305	0.3257217	0.3050017	0.2948549	0.336494	0.3349384
0.3215534	0.332683	0.2961349	0.3290557	0.2843379	0.2730746	0.284686
0.372648	0.3494209	0.3575099	0.3470704	0.3454156	0.3410731	0.3391401
0.3168219	0.3327997	0.3553535	0.3373991	0.3122151	0.2821595	0.3473895
0.3757156	0.3339969	0.3391578	0.3301389	0.3626336	0.2740527	0.3487145
0.2907271	0.3122034	0.3063712	0.3364695	0.3112513	0.2796738	0.3265498
0.3111934	0.3078794	0.3031313	0.344067	0.3351297	0.3057728	0.3330638
0.3236355	0.2967697	0.2709909	0.3343162	0.3308109	0.2636129	0.3488019
0.3031014	0.3419449	0.3079819	0.3577859	0.3126459	0.321869	0.3193387
0.3549617	0.30103	0.3300738	0.3032479	0.2946018	0.2861846	0.302262
0.3876629	0.3610428	0.3229125	0.3597922	0.3354473	0.2951277	0.3365591
0.3056656	0.3415686	0.3400851	0.3550558	0.3426853	0.3060757	0.307669
0.2577985	0.3026295	0.2916735	0.3106241	0.3277888	0.2899038	0.2957684
0.3613879	0.3469871	0.3425315	0.3202568	0.3283175	0.3245189	0.3261125
0.3968318	0.3226215	0.3543103	0.3275461	0.3595844	0.4073587	0.3143649
0.3659679	0.3316075	0.3644219	0.322531	0.308696	0.3364385	0.2996277
0.3135971	0.3228609	0.3162902	0.3548795	0.3103177	0.3103501	0.3566021
0.2732988	0.3387087	0.327359	0.3044933	0.3125187	0.3269662	0.3378105
0.3419938	0.3142957	0.3654053	0.3425029	0.323447	0.3633831	0.333324
0.3727865	0.3663213	0.3594098	0.3302232	0.3478999	0.2992009	0.3562191
0.2759997	0.3262409	0.3543242	0.3215095	0.3118938	0.3228973	0.3549744
0.3266332	0.3388079	0.3010987	0.407661	0.3135629	0.3374899	0.3373367
0.3108961	0.3594283	0.3529839	0.3580988	0.3325703	0.2747864	0.3150538
